会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
株式会社エフ・シー・エス,5000万円,"28億4500万円 （移動体通信事業のみ）※2016年3月期実績","代表取締役　 金丸 まゆ",http://docom,,"株式会社エフ・シー・エス〒992-0012山形県米沢市金池5-1-27担当／新卒採用担当　土田、佐藤電話／0238-23-8606 （受付時間／9:45～18:45）【本社アクセス】JR線「米沢駅」より徒歩23分【ホームページ】http://docomo-fcs.com （弊社運営店舗の雰囲気をお伝えしているサイトです。ぜひご覧ください。）http://www.fcs-k.com （弊社公式HP）"
株式会社スポプレ,8000万円,25億円（2016年6月実績）,"西岡　保之【略歴】1975年 岡山県生まれ。慶應義塾大学経済学部卒業後、2001年に株式会社ニッポン放送に入社。編成部、イベント開発部、制作部の3部署に所属。その後、株式会社サイバーエージェントに転職。アフィリエイトメディア、ターゲティングメディアの事業責任者を務める。2005年12月に株式会社スポプレを創業、代表取締役に就任。",,,株式会社スポプレ　採用担当〒107-6023東京都港区赤坂1-12-32アーク森ビル23階TEL：03-6435-5586
株式会社江崎新聞店,3000万円,33億円（2015年実績）,代表取締役社長　江崎和明,http://www.ezakinet.co.jp,k_mochizuki@ezknet.com,"〒420-0035　静岡県静岡市葵区七間町8-20　電話番号 054-255-2231 E-mail k_mochizuki@ezknet.comHP http://www.ezakinet.co.jp 担当：望月"
株式会社ブレイク・フィールド社,2410万円,"売上推移平成25年3月 17億5000万円平成26年3月 30億円平成27年3月 37億円","代表取締役　井田 正幸",,,"株式会社ブレイク・フィールド社東京都千代田区一番町7-1　一番町ビルヂング4階当社の採用活動はすべて下記の窓口で代行しております。 ご不明な点などがございましたら、以下の電話番号へご連絡ください。 ブラッシュアップ・ジャパン(株）ブレイク・フィールド社新卒採用担当者「櫻庭（サクラバ）」もしくは「下稲葉（シモイナバ）」をお呼びください。 TEL：03-5206-1369"
株式会社テーオーホールディングス,17億7564万円（2016年5月期）,400億2100万円（2016年5月期）,代表取締役社長　小笠原　康正,,,〒041-8610函館市港町3丁目18番15号株式会社テーオーホールディングス人事部　西田電話　：0138-45-3911
生活協同組合コープこうべ,,,,http://www.kobe.coop.or.jp,cksaiyou@kobe.coop.or.jp,"生活協同組合コープこうべ 神戸市東灘区住吉本町1丁目3番19号　〒658-8555ＴＥＬ：078-856-1321 E-mail：cksaiyou@kobe.coop.or.jp URL：http://www.kobe.coop.or.jp/担当：組織管理部　人事・労政　権藤（ゴンドウ）、山村（ヤマムラ）アクセス：ＪＲ「住吉駅」（ＪＲ神戸線・快速停車駅）下車、北出口すぐ"
株式会社ＤＮＳ,5000万円,81億9000万円（2016年11月実績）,,http://dns-jp,,"＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝株式会社ＤＮＳ住所：〒862-0930熊本県熊本市東区若葉一丁目2-1TEL：096-331-5000採用担当：松田 URL http://dns-jp.co.jp/E-mail://matsuda@dns-jp.co.jp＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝"
株式会社アクセスブリッジ,3000万円,"286 億526万円（平成 25 年3月実績）",,,,"【大阪本社】〒541-0053 大阪府大阪市中央区本町1丁目4-8　エスリードビル本町4F 【東京支社】〒171-0022東京都豊島区南池袋3-13-5　光3号ビル7F採用総合窓口：0120-941-464 担当：橋本■大阪本社へのアクセス　地下鉄堺筋線「堺筋本町」駅　12番出口徒歩約5分 　地下鉄中央線「堺筋本町」駅　1番出口徒歩約5分 ※向かいに東警察署・隣にドトールコーヒーがあります。 　1階に永和信用金庫が入っている白いビルです。■東京本社へのアクセス　池袋東口より徒歩7分。　明光義塾さん隣接のビルです。"
株式会社求人ジャーナル,2500万円,105億1500万円（2014年6月実績）,,https://www.journal.co.jp,,♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪　　　　株式会社求人ジャーナル　人事課　　　　〒370-0841　群馬県高崎市栄町3-26　　　TEL：027-353-7062　採用担当　　　HP：https://www.journal.co.jp/♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪～♪
株式会社大平薬局,1000万円,4億4000万円（2016年03月現在）,小山平太郎,http://daihei.jp,info@daihei.jp,"株式会社大平薬局〒421-0523 静岡県牧之原市波津3-28採用担当：小山靖広TEL：0548-52-0007E-mail：info@daihei.jp"
広島中央ヤクルト販売株式会社,3300万円,18.4億円(平成28年度実績),代表取締役会長　永田徳博,http://www.hiroshimachuo-yakult.co.jp/,hitoshi_yamamoto@hiroshimachuo-yakult.co.jp,広島中央ヤクルト販売株式会社〒737-0911　広島県呉市焼山北3丁目2-8　担当／総務部　山本　人史TEL：0120-645-540E-mail：hitoshi_yamamoto@hiroshimachuo-yakult.co.jp
株式会社通信館,1400万円,19年度　　9億5000万円20年度　　9億8000万円21年度　　9億6100万円22年度　10億3500万円23年度　12億3000万円24年度　13億7900万円25年度　14億6900万円26年度　16億600万円27年度　17億1200万円28年度　18億4400万円,竹永淳一,,,"＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 株式会社通信館 熊本県八代市大手町１丁目6-27 TEL:0965-33-9300　 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝"
日立造船因島生活協同組合,3億9816万円,25億円（2017年3月実績）,理事長　神野　孝光,http://www.innoshima-seikyo.com/,,日立造船因島生活協同組合〒722-2324広島県尾道市因島田熊町4508-1総務部　採用担当　藤井孝司TEL：0845-22-2560
株式会社コモディイイダ,,,,,,東京都北区滝野川7-27-7　〒114-8501人事部採用チーム　会沢　陽之介　児玉　雄介　渡邉哲也TEL　03-3916-1111
スーパーヤオスズ株式会社,2000万円,25億円,,,,愛知県刈谷市高津波町4-5040566-24-0387スーパーヤオスズ株式会社　総務部　丹羽加奈恵
株式会社オートセンター・イグチ,1000万円,37億円（2016年3月期）36億9.000万円（2015年3月期）,井口　清三,,,株式会社オートセンター・イグチ　東京都杉並区井草5-1-10TEL：03-3396-3171　FAX：03-3396-0794
有限会社永井商會,1000万円,14億9517万円（2015年5月決算）,永井　健之,,,【採用担当】重見和弘/石崎亜梨沙/伊藤明美【連絡先】〒792-0812愛媛県新居浜市坂井町2丁目3-8フジ新居浜駅前内auショップフジ新居浜駅前重見　宛TEL：0897-34-2377
ソフトバンク株式会社,"1772億5100万円 （※2016年度）",8兆9010億円（※ソフトバンクグループ全社の連結売上高　2016年度）,"代表取締役会長　孫 正義代表取締役社長兼 CEO　宮内 謙",http://crew.recruit.softbank.jp,,"------------------------------------------------------------ソフトバンク クルー採用担当　東京都港区東新橋1-9-1　東京汐留ビルディング　URL：http://crew.recruit.softbank.jp/sales/-----------------------------------------------------------"
株式会社ライフコーポレーション,"１００億４００万円 ","２０１０年２月期／４６８８億５８００万円 （前期比１０１.２％）２０１１年２月期／４８０８億２２００万円 （前期比１０２.６％）２０１２年２月期／５０３１億　 ７００万円 （前期比１０４.６％）２０１３年２月期／５２０３億８５００万円 （前期比１０３.４％）２０１４年２月期／５３５５億１７００万円 （前期比１０２.９％）２０１５年２月期／５８５７億７０００万円 （前期比１０９.４％）２０１６年２月期／６２９９億８６００万円 （前期比１０７.５％）２０１７年２月期／６５２７億８４００万円 （前期比１０３.６％）","代表取締役会長兼ＣＥＯ　清水 信次（しみず のぶつぐ）代表取締役社長兼ＣＯＯ　岩崎 高治（いわさき たかはる）",http://www.lifecorp.jp,shutoken.saiyou@lifecorp.co.jp,東京本社／首都圏人事部／〒110-0016　東京都台東区台東1-2-16TEL:03-3837-5264Ｅ-mail：shutoken.saiyou@lifecorp.co.jp大阪本社／近畿圏人事部／〒533-8558　大阪市淀川区西宮原2-2-22TEL:06-6150-6168Ｅ-mail：life.k.saiyou@lifecorp.co.jpホームページアドレス　http://www.lifecorp.jp/
株式会社サンシャインチェーン本部,1億円,223億円(2016年3月期実績),代表取締役会長　川崎博道　　　代表取締役社長　桑名俊二,http://recruit.sunshinechain.com,,"〒780-0814　高知県高知市稲荷町11-45 TEL 088-882-4711　FAX　088-882-4722 recruit@sunshinechain.co.jp 人事担当　大菊・大崎サンシャインHP　http://recruit.sunshinechain.com/"
日本ビジネスアート株式会社,5000万円,"22億円 (2016年3月期)　※無借金経営",代表取締役社長　高下京三,http://www.jbakk.co.jp,jba-t-saiyo@jbakk.co.jp,"【東京採用】 東京本社：〒105-6109　　　　　　東京都港区浜松町2丁目4番1号 世界貿易センタービルディング9階　　　　　　□TEL:03-5408-5101（代表） 　/採用担当　　　　　　□MAIL:jba-t-saiyo@jbakk.co.jp 【大阪採用】 大阪本社：〒541-0052 　　　　　　大阪府大阪市中央区安土町2-3-13　大阪国際ビルディング15階 　　　　　　□TEL:06-6261-1010 /採用担当  □MAIL:jba-t-saiyo@jbakk.co.jp ■ホームページ：http://www.jbakk.co.jp ■新卒採用ホームページ：https://www.jbakk.co.jp/recruit_2018/"
北日本自動車株式会社,1200万円,１億７千万円,代表取締役　高野憲治,http://www.lotas-ishikawa.jp/shop_list/shop25.html,,北日本自動車株式会社〒927-0031石川県鳳珠郡穴水町鵜島ニ22採用担当TEL：0768-52-1313FAX：0768-52-1315
株式会社　松葉,7000万円,24億円/2016年実績,"松葉 将登",,,大阪市西区北堀江2丁目16番18号　松葉ビル株式会社松葉ＴＥＬ／06-6536-2877（人事部部長　横山）
株式会社スーパー丸幸,1000万円,20億円（2016年8月時点）,代表取締役　野村英樹,,,●○●○●○●○●○●○●○●　株式会社　スーパー丸幸　〒370-2316　群馬県富岡市富岡980　採用担当　TEL:0274-63-5898○●○●○●○●○●○●○●○
株式会社有賀園ゴルフ,4800万円,93億7千万円（平成28年実績）＝＝　売上高推移　＝＝90億5000万円（平成27年実績）86億円（平成26年実績）84億円（平成25年実績）85億円（平成24年実績）82億円（平成23年実績）,代表取締役社長　有賀史剛,http://www.arigaen.co.jp,saiyo@arigaen.co.jp,"株式会社有賀園ゴルフ採用担当／樋口・大塚〒370-0854　群馬県高崎市下之城町300-1TEL:027-328-1299FAX:027-322-3888MAIL:saiyo@arigaen.co.jp URL:http://www.arigaen.co.jp/"
株式会社フリー・フォーム・カンパニー,1000万円,4.5億円（2016年8月）,"代表取締役社長　津田 正子",http://www.freeformcom,,"株式会社フリー・フォーム・カンパニー（FFC）　管理部　宮村 宗一郎〒534-0024大阪市都島区東野田町2-8-31 サンプラザビル京橋8FTEL：06-6354-5790e-mail：freeform@freeformcompany.co.jp▽ホームページhttp://www.freeformcompany.co.jp/"
