会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
株式会社カネスエ,"代表取締役 牛田彰",,,,4800万円,600億円（2016年3月）,〒460-0003名古屋市中区錦3-2-7　錦センタービル2Fカネスエ採用センター
"株式会社 医学出版",代表取締役　村越勝弘,,staff@igaku.co.jp,03-3813-8888,1000万円,非公開,"（本社）（応募書類送付先）〒113-0033 東京都文京区本郷二丁目27番18号 株式会社　医学出版人事部　採用係（地下鉄丸ノ内線・本郷三丁目）徒歩２分 03-3813-8888 （代表）　　FAX: 03-3813-8224E-mail: staff@igaku.co.jpホームページ　www.igaku.co.jp"
"株式会社 美鈴","鈴木 哲哉（薬剤師）",,recruit@lifeaid-misuzu.co.jp,029-303-6670,1000万円,"27億4500万円（2016年9月実績）　↑25億5000万円（2015年9月実績）　↑22億2000万円 （2014年9月実績）　↑18億8000万円 （2010年3月実績）　↑17億1000万円 （2009年3月実績）","〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓株式会社 美鈴 ＜みすず薬局/くすりのみすず＞〒310-0063茨城県水戸市五軒町2-1-37　水戸京成パーキングプラザ1階TEL:029-303-6670FAX:029-303-6671E-mail:recruit@lifeaid-misuzu.co.jp担当／管理部 人事課〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓─〓"
"株式会社ALL Rise Group","宮本 裕志",,,03-5730-3736,2280万円,6億1580万円（2016年10月期）,"〒112-0005住所　東京都文京区水道1-12-15 白鳥橋三笠ビル4F採用担当　鈴木TEL：03-5730-3736"
株式会社マルイチ,代表取締役社長　高木　大(たかき　まさる),http://www.super-maruichi.jp,,0982-52-3880,5000万円,118億1000万円(2016年5月決算期),〒883-0012宮崎県日向市江良町4-110-3TEL:0982-52-3880担当/総務課：高木資子【当社ホームページ】http://www.super-maruichi.jp
株式会社江頭エーザイ,"【代表取締役社長】　江頭 政治",http://www.egashira-e.com/index.html,,0944-87-2983,6000万円,10億円,"株式会社江頭エーザイ　人事担当：江頭　宛住所：〒831-0033 福岡県大川市大字幡保157TEL:0944-87-2983　FAX:0944-87-1885"
株式会社さとう,代表取締役社長　佐藤総二郎,http://www.sato-kyoto.com,saiyou@sato-kyoto.co.jp,0773-22-0003,4250万円,913億円(平成29年2月期見込み　グループ合計)882億円（平成28年度実績　グループ合計）,株式会社さとう　人事部　採用課（小谷・和田）所在地：〒620-8503　京都府福知山市字上紺屋15番地TEL：0773-22-0003E-mail：saiyou@sato-kyoto.co.jp株式会社さとうホームページ：http://www.sato-kyoto.com/株式会社さとう新卒採用ホームページ：http://www.sato-kyoto.com/recruit/fresh/
株式会社四国新聞社,代表取締役・ＣＥＯ　平井龍司,,soumu@shikoku-np.co.jp,087-833-1114,8500万円（2014年4月現在）,非公開,総務部人事課住所　〒760-8572　香川県高松市中野町１５－１受付電話番号　087-833-1114Eメール　soumu@shikoku-np.co.jp担当者　中山
株式会社BRAISE,代表取締役社長：岡田　洋幸,http://www.braise.co.jp,,03-5797-7989,1000万円,非公開,本社／〒107-0052東京都港区赤坂5-4-6　赤坂三辻ビル3FTEL：03-5797-7989■URLhttp://www.braise.co.jp■Emailsaiyou@braise.co.jp■交通機関（本社）●東京メトロ銀座線：赤坂見附から徒歩6分、溜池山王駅から徒歩8分●東京メトロ千代田線：赤坂駅4番出口となり、乃木坂駅から徒歩9分
株式会社ワイエスシーインターナショナル,代表取締役社長　安英壹,,recruit@ysci.jp,03-6911-3060,3000万円,27億円（2016年度実績）,株式会社ワイエスシーインターナショナル〒160-0023東京都新宿区西新宿3-1-5　新宿嘉泉ビル３階　新卒採用担当：管理部　山元・矢田TEL：03-6911-3060（受付時間　平日9時～17時）E-mail：recruit@ysci.jp
バークレイグローバルコンサルティング＆インターネット株式会社,"代表取締役　平田 雅明",http://www.barclay-global.com/,,03-6302-0029,1000万円,非公開,"バークレイグローバルコンサルティング＆インターネット株式会社東京本社 〒160-0023東京都新宿区西新宿3-1-5 新宿嘉泉ビル9FTEL： 03-6302-0029 (代表）担当：本社採用係"
株式会社エクスコア,"岡田 圭司",https://www.xscore.co.jp/,recruit@xscore.co.jp,03-6433-5770,3000万円,5億7700万円(2017年3月期実績),株式会社エクスコア〒150-0011東京都渋谷区東3-13-11A-PLACE恵比寿東7F人材事業部　新卒採用担当TEL:03-6433-5770E-mail:　recruit@xscore.co.jp
コープさが生活協同組合,"理事長 喜多 裕彦",,,0952-31-9111,"14億7400万円 (単体)","56億6100万円 (単体) 西暦2017年3月期 実績",コープさが生活協同組合〒849-0934　佐賀県佐賀市開成3丁目3-28担当／総務部人事教育担当　山田　TEL:0952-31-9111　FAX:0952-31-4291
"株式会社 シェルパ","代表取締役：金森 弘志",,saiyo@shpa.co.jp,06-6131-5442,1000万円,"18億　458万円(2017年3月実績) 14億9709万円(2016年3月実績) 12億2337万円(2015年3月実績)　  8億4748万円(2014年3月実績）　 3億8115万円(2013年3月実績） 1億 524万円(2012年3月実績) 5634万円(2011年3月実績)","-----------------------------------------------株式会社 シェルパ〒530-0003大阪市北区堂島2-4-27　新藤田ビル2F TEL：06-6131-5442 （採用担当：諧（かのう））mail：saiyo@shpa.co.jpHP：www.shpa.co.jp/-----------------------------------------------"
株式会社アイヴィジョン,"代表取締役社長　竹林 成樹",https://ivision.ne.jp,iv@jinjib.co.jp,03-3444-1144,2500万円,,"■株式会社アイヴィジョン採用担当■住所〒150-0013　東京都渋谷区恵比寿3-3-3 RABANKA2F■交通機関　JR山手線・埼京線・湘南新宿ライン「恵比寿駅」東口より徒歩10分■URL　　https://ivision.ne.jp/■TEL 　 03-3444-1144　■E-mail　iv@jinjib.co.jp"
株式会社海星ムサシ,"代表取締役社長中島 信行",,,092-718-7311,4800万円,100億円（平成26年度）←93億円（平成25年度）←91億円（平成23年度実績）,〒810-0071福岡県福岡市中央区那の津2-1-3TEL：092-718-7311人事部：中馬（ちゅうまん）・古川
株式会社美咲,"【代表取締役】　古庄 俊二",http://www.misaki-jp.org/index.html,,092-588-8711,1000万円,33億円（2016年度実績）,"株式会社美咲〒812-0881 福岡県福岡市博多区井相田3丁目3-53採用担当：膳所　正典(ゼゼ　マサノリ)TEL：092-588-8711FAX：092-588-8712"
株式会社平喜屋,代表取締役社長　戸塚敦雄,http://www.hirakiya.net,,03-3987-0081,2000万円,25億円（平成29年9月期）,株式会社平喜屋〒171-0022東京都豊島区南池袋2-29-16採用担当TEL：03-3987-0081
西日本映像株式会社,代表取締役　川越　文雄,http://www.nne.ne.jp,saiyo@nne.ne.jp,092-526-9333,1000万円★株主構成FBSエンタープライズ株式会社株式会社日テレグループ企画,6億576万円　（2016年3月期）,"〒810-0011　福岡市中央区高砂1-9-3　六月田ビル4F西日本映像株式会社　人事総務センター採用担当・板谷電話　092-526-9333（代表）E-mail saiyo@nne.ne.jpホームページ　http://www.nne.ne.jp"
株式会社ＷＥＤＧＥ,代表取締役／水沼智治,http://www.we-dge.net/E-mail　form@we-dge.com,form@we-dge.com,06-6339-7929,2000万円,第6期（2015年5月度）：2億1122万円第7期（2016年5月度）：3億3000万円第8期（2017年5月度）：4億5000万円,〒564-0051大阪府吹田市豊津町13-44ユカミ江坂ビル1F-6FTEL:06-6339-7929採用担当：総務部　横山正弘URL　http://www.we-dge.net/E-mail　form@we-dge.com
株式会社マザース,松山誠,http://mothers.co.jp,saiyo@mothers.co.jp,03-5449-6081,4000万円,非公開,"株式会社マザース　採用担当東京都港区高輪1-3-13 NBF高輪ビル 4Ftel:03-5449-6081e-mail:saiyo@mothers.co.jpwebsite:http://mothers.co.jp/"
株式会社21インコーポレーション,代表取締役社長　脇田　歩,http://www.21inc.co.jp/index.html,saiyo@21inc.co.jp,03-3546-0027,1億円,14億3800万円（2017年1月）,株式会社21インコーポレーション〒104-0061東京都中央区銀座2-11-16TEL:03-3546-0027E-mail:saiyo@21inc.co.jp担当担当
株式会社フジ・コーポレーション,代表取締役社長　遠藤　文樹,http://www.fujicorporation.com/company/,,,12億3651万5600円,290億3604万円（2016年10月期実績）,"〒981-3341宮城県富谷市成田1-7-1管理部 採用担当 多賀"
株式会社コノミヤ　東海事業本部,代表取締役社長　芋縄隆史,http://www.konomiya.jp,mamoru.motono@konomiya.co.jp,052-892-1001,9590万円,,"■■■■■■■■■■■■■■■■■■■■■■■■■■■■■【東海事業本部】■〒458-0021■名古屋市緑区滝ノ水3-301■TEL 052-892-1001■採用担当／元野　・　松澤■E-mail mamoru.motono@konomiya.co.jp ■URL■ 【本社HP】 http://www.konomiya.jp/■【東海事業本部HP】http://www.hallofoods.co.jp/■■■■■■■■■■■■■■■■■■■■■■■■■■■■■"
株式会社ジェイアール東海高島屋,,,,,100億円,1286億円(平成29年2月期),"〒450-6001　愛知県名古屋市中村区名駅1-1-4株式会社ジェイアール東海高島屋　人事部　能力開発グループ 小栗・鞍本・長石(052)565-4820　午前10時～午後5時"
株式会社アド・ライブ,代表取締役遠藤　隆一郎,,,052-212-4525,5000万円,9億円(2016年8月期実績),株式会社アド・ライブ名古屋市中区丸の内2-6-21TEL:052-212-4525
株式会社キャン,代表取締役社長　立花　隆央,http://www.can-jp,,,5000万0000円,2016年度　会社規定により非公開,〒104-0061東京都中央区銀座4-12-15歌舞伎座タワー18階株式会社キャン　経営統括部　人事部新卒採用担当MAIL：rec.sm2@can-jp.comURL：http://www.can-jp.com/
株式会社道南ラルズ,代表取締役社長　土手　光三,,,0138-40-2200,4億8000万円,235億万円（2015年度）,株式会社　道南ラルズ〒041-0821北海道函館市港町1丁目2番1号　管理部／山下TEL：0138-40-2200　FAX：0138-40-2208
ソニーネットワークコミュニケーションズ株式会社,"代表取締役社長　　十時 裕樹",,recruit-f2017@so-net.ne.jp,,79億6900万円(2014年3月末現在),非公開,〒140-0002東京都品川区東品川4-12-3品川シーサイドＴＳタワー電話での受付は行っておりません。問い合わせはE-Mailでお願いします。E-Mail:recruit-f2017@so-net.ne.jp
株式会社東光ストア,代表取締役社長　楠美　秀一,,h03-sasaki@tokou-store.com,011-842-3246,13億7700万円,472億円　（2016年2月）,"〒003-8519　札幌市白石区東札幌1条1丁目1-7 E-mail：h03-sasaki@tokou-store.com　担当　佐々木E-mail：k-nihonyanagi@tokou-store.com　担当　二本柳TEL：011-842-3246（代表）"
株式会社東海セイムス,"代表取締役　 川上 展央",,,0598-60-1337,4500万円,211億9000万円（2015年3月期）,株式会社東海セイムス　総務人事課宛（担当：東山）〒515-0044　三重県松阪市久保町1456番地4TEL：0598-60-1337(平日8:45～17:45)
イワタニ九州株式会社,代表取締役社長　本多進,,,092-483-5850,1億5000万円,71億5100万円（2016年3月実績）,福岡市博多区榎田2丁目2番3号TEL：092-483-5850採用担当：小島（コジマ）、最所（サイショ）
読売新聞社,○東京本社代表取締役社長　山口　寿一○大阪本社代表取締役社長　杉山　美邦○西部本社代表取締役社長　中井　一平,http://saiyou.yomiuri.co.jp,,03-3216-8650,○東京本社…10億円○大阪本社…1億円○西部本社…1億円,6558億円(2015年度グループ売上高),東京本社人事部〒100-8055　東京都千代田区大手町1-7-1　電話03-3216-8650採用ホームページ　http://saiyou.yomiuri.co.jp/
【ＳＲＣグループ】　株式会社ＳＲＣ,"横山　剛（よこやま　たけし）  昭和40年9月2日生　趣味はラグビー（未だ現役）、他スポーツ観戦 甲南大学文学部卒　神戸大学大学院修了　経営学修士（MBA) 神戸大学大学院　経営学研究科　博士課程後期（Ph.D.）在学中 　 神戸大学、流通科学大学、神戸学院大学等で客員教授、非常勤講師を歴任 2017年4月より、近畿大学、神戸芸術工科大学、流通科学大学にて客員教授、非常勤講師を行う座右の銘は、「人間万事塞翁が馬」　尊敬する人は冒険家、故植村直己さん ブログ http://blog.src-japan.net/ Face book http://www.facebook.com/takeshi.j.yokoyama twitter https://twitter.com/Take_Yokoyama",,,078-334-0200,株式会社ＳＲＣ：1000万円（グループ合計4億610万円◆資本準備金含）,,■所在地：兵庫県神戸市中央区明石町48　神戸ダイヤモンドビル8F　■電話番号：078-334-0200
株式会社ローソン　ストアマネジャー職,"代表取締役 社長 竹増 貞信",,shinsotsu-smanager@lawson.to-entry.jp,0120-688-166,585億664万円,【全店舗売上高】2兆1579億円（2017年2月末現在）,"〒141-8643東京都品川区大崎1-11-2ゲートシティ大崎イーストタワーローソン新卒採用事務局TEL：0120-688-166 　※受付時間　10:00～18:00e-mail：shinsotsu-smanager@lawson.to-entry.jp"
アシックスジャパン株式会社,代表取締役社長／西前　学,http://www.asics.com,,,9000万円,,■東京本社〒136-8585東京都江東区新砂3丁目1番18号アシックスジャパン株式会社　人事部　採用担当宛■関西支社〒661-8577兵庫県尼崎市潮江１丁目3番28号アシックスジャパン株式会社　人事部　採用担当宛URLhttp://www.asics.com/jpE-mailjinji-ajp@asics.comアクセス■東京本社：東京メトロ東西線「南砂町」よりすぐ■関西支社：JR神戸線「尼崎駅」より徒歩7分
mode株式会社,"名和 豪",http://recruit.race.co.jp,,,6億4000万円（資本準備金含む）※グループ連結,"230億円(2018年9月期見込） ※グループ連結186億円(2017年9月期実績） ※グループ連結",■レイスグループ　採用窓口■※お問い合わせ等は、下記メールアドレスにて受付しております。recruit@race.co.jpお問い合わせの受付はレイスグループにて行っておりますが、採用・選考は各事業会社で行います。※お問い合わせの際は必ず下記のフォーマットをご利用ください。---------------------------------------------------------------リクナビのmode株式会社ページからの問い合わせです。氏名：フリガナ：学校名：内容：-----------------------------------------------------------------＜レイスグループ　採用窓口＞【住所】東京都中央区京橋3-1-1　東京スクエアガーデン7F【レイスグループ採用サイト】http://recruit.race.co.jp/【Facebookページ】http://www.facebook.com/race2005
株式会社DACホールディングス,代表取締役社長　石川　和則,https://www.dac-group.co.jp/,,03-6895-1601,2億2500万円,130億4800万円（DACグループ2016年11月期実績）,〒110-0015東京都台東区東上野4-8-1　TIXTOWER　UENO　15F株式会社DACホールディングス　人事部TEL：03-6895-1601
株式会社九州屋,"代表取締役社長 小林　拓",,,042-676-3111,2億7725万円,259億円（2016年3月）,株式会社九州屋〒192-0361　東京都八王子市越野24-1TEL042-676-3111　FAX042-676-3390窓口　採用担当根岸　n.negishi@kyusyuya.co.jp
北海道文化放送株式会社,代表取締役社長　須賀信昭,http://uhb.jp,saiyo@uhb.co.jp,011-214-5221,5億円,110億9800万円（平成27年度）,"〒060-8527札幌市中央区北1条西14丁目総務局 総務部　採用担当Tel　011-214-5221（受付時間　平日9：30～17：30）e-mail　saiyo@uhb.co.jpホームページ　http://uhb.jp/top.html"
株式会社東急ステーションリテールサービス,代表取締役社長　秋本　伸夫,,saiyou@tkk.tokyu.co.jp,03-3477-6134,6400万円,110億8千万円（2015年実績）,"東京急行電鉄株式会社内〒150-8511 東京都渋谷区南平台町5-6 人材戦略室　人事開発部　採用センター TEL：03-3477-6134 E-mail：saiyou@tkk.tokyu.co.jp"
株式会社大塚家具,代表取締役社長　大塚久美子,,saiyo_st@idc-otsuka.co.jp,,10億8000万円,"463億700万円 （2016年度実績）","株式会社大塚家具　人事部人事課　03‐5530‐5511（平日9：00～18：00）Email: saiyo_st@idc-otsuka.co.jp"
株式会社ハローデイ,代表取締役社長　加治敬通,,,093-963-5429,1億円（平成28年1月現在）,751億416万円（2017年3月期）,福岡県北九州市小倉南区徳力3-6-16〒802-0974TEL093-963-5429　担当者/藤永・野入saiyo@halloday.co.jp
株式会社北海道新聞社,代表取締役社長　広瀬　兼三,http://jinji.hokkaido-np.co.jp,,011-210-5511,3億4650万円,487億円（2017年3月期）,"〒060-8711北海道札幌市中央区大通西3-6北海道新聞社 総務局総務グループ電話 ： 011-210-5511（採用担当）採用情報ホームページ ： http://jinji.hokkaido-np.co.jp"
株式会社　読売広告社,代表取締役社長　藤沼　大輔,,jinji@yomiko.co.jp,03-5544-7108,14億5874万円,733億4600万円（2017年3月期）,〒107-6105東京都港区赤坂5-2-20　赤坂パークビル株式会社　読売広告社人事局　人事部電話：03-5544-7108（人事部直通）Mail：jinji@yomiko.co.jp
株式会社TBSテレビ,代表取締役社長　武田　信二,,,,3億円,規定により非公開,saiyou18@best.tbs.co.jp
レイサス株式会社,大仲　研司,http://recruit.race.co.jp,,,6億4000万円（資本剰余金含む）※グループ連結,"230億円(2018年9月期見込） ※グループ連結186億円(2017年9月期実績） ※グループ連結","■レイスグループ 採用窓口■お問い合わせ等は、下記メールアドレスにて受付しております。recruit@race.co.jpお問い合わせの受付はレイスグループにて行っておりますが、採用・選考は各事業会社で行います。※お問い合わせの際は必ず下記のフォーマットをご利用ください。---------------------------------------------------------リクナビのレイサス株式会社ページからの問い合わせです。氏名：フリガナ：学校名：内容：----------------------------------------------------------＜レイスグループ　採用窓口＞【住所】東京都中央区京橋3-1-1　東京スクエアガーデン7F【レイスグループ採用サイト】http://recruit.race.co.jp/【Facebookページ】http://www.facebook.com/race2005"
株式会社キデイランド,"代表取締役社長　間宵 薫",,,03-6261-5505,1億円,148億円　※2015年度,"〒102-0073東京都千代田区九段北1-13-5 ヒューリック九段ビル9F本部 採用担当TEL：03-6261-5505"
ネッツトヨタ東名古屋株式会社,代表取締役　山口峰伺,,saiyo@kirix.co.jp,0120-104-771,1億円（グループ3億9000万円）,"311億円 （グループ525億円） &lt;2016年3月期実績&gt;",ネッツトヨタ東名古屋株式会社〒460-0006　愛知県名古屋市中区葵1丁目27番29号【お問合せ先】キリックスグループ採用課　村上・早川TEL：0120-104-771E-mail：saiyo@kirix.co.jp※お問合せの受付はキリックスグループ採用課で行っております。
株式会社カードラボ,"代表取締役　西浦 恵一郎",,,03-3972-0022,1000万円,26億（2015年実績）,〒173-0021東京都板橋区弥生町77-3アニメイトグループ　新卒採用担当TEL：03-3972-0022(※9:30-18:00　土日祝日を除く）
株式会社オストジャパングループ,"代表取締役社長 村上 睦",,,011-896-5533,5000万円,3626億3200万円（グループ連結）　※2016年3月実績,〒004-0022札幌市厚別区厚別南5丁目1番7号株式会社オストジャパングループ採用担当者TEL：011-896-5533
株式会社両備エネシス,代表取締役社長　松田　久,,saiyo@ryobi-holdings.jp,086-232-2122,9000万円,187億8800万円（平成27年度）,"株式会社両備エネシス〒703-8236　岡山県岡山市中区国富1丁目2番13号 ◆お問い合わせ先◆両備ホールディングス株式会社 両備経営サポートカンパニー 人財本部　グループリクルート部 TEL：086-232-2122 　メール：saiyo@ryobi-holdings.jp"
株式会社西日本セイムス,代表取締役社長　田中幸三,,,088-846-6625,2000万円,3626億3200万円（グループ連結）※2016年3月実績,"〒781-8133 高知県高知市一宮徳谷3番14号 TEL 088-846-6625 FAX 088-846-6571"
"マーク ジェイコブス ジャパン株式会社",橘田　新太郎,http://www.marcjacobs.jp/,,03-4500-9466,4億5000万円,非公開,〒107-0062東京都港区南青山3-1-3スプライン青山東急ビル7階問い合わせ先03-4500-9466/採用担当hr@marcjacobs-j.com
愛眼株式会社,代表取締役社長　下條　三千夫,,,06-6774-5006,54億7800万円,165億6300万円（2016年3月実績）,愛眼株式会社　人事部大阪市天王寺区大道4-9-12TEL:06-6774-5006
株式会社日本経済新聞社,"代表取締役社長　岡田 直敏",,,03-6256-7285,25億円,1806億円（2015年12月期）,〒100-8066東京都千代田区大手町1-3-7(電話):03-6256-7285(受付:平日　9:00～17:00)日本経済新聞社　総務局人事・労務部採用グループ
株式会社シュテルン仙台,近江康博,,,022-288-0120,4500万円,32億6600万円（2015年12月期実績）,"〒984-0002 宮城県仙台市若林区卸町東4-1-1 TEL：022-288-0120お問い合わせの受付は、株式会社ジャーマン・ファクトリー 総務部（メルセデス・ベンツ仙台東内）にて行っております。〒984-0002 宮城県仙台市若林区卸町東4-1-1 　TEL：022-288-0120"
株式会社スズキ自販湘南,代表取締役社長　長野　仁宏,http://sj-shonan.jp/,,0463-55-3810,5000万円,176億2123万円（2017年3月期）,"株式会社スズキ自販湘南〒254-0013 神奈川県平塚市田村6-23-2担当：牛来　沙弥香　（ごらい　さやか）TEL：0463-55-3810E-mail：sgorai@j-syonan.sdr.suzuki"
株式会社ラルズ,代表取締役社長・COO　猫宮　一久,,,011-530-6030,42億円,1193.1億円（2016年2月期）,株式会社ラルズ〒064-8621札幌市中央区南13条西11丁目2番32号TEL：011-530-6030（管理部人事グループ直通）採用担当：斉藤・西岡
イワタニ北陸株式会社,代表取締役社長　村上泰久,,,076-294-5571,1億250万円,55億8000万円（2016年3月期決算）,石川県野々市市下林4丁目567番地電話番号：076-294-5571採用担当：石田（イシダ）、坂井（サカイ）
株式会社美高商事,代表取締役社長　小野一美,,,03-5343-4550,1000万円,10億円（2015年5月期実績）,"〒164-0001東京都中野区中野5-33-4 山の手六番館1F株式会社美高商事　ＨＥＡＬＴＨＹ-Ｏｎｅ　採用担当TEL：03-5343-4550"
"株式会社 宣伝会議","代表取締役　東 彦弥",https://www.sendenkaigi.com,hr-recruit@sendenkaigi.co.jp,03-3475-3034,50000万円,非公開,株式会社宣伝会議採用プロジェクトチーム〒107-8550　東京都港区南青山3－11－13採用サイト：https://www.sendenkaigi.com/recruit/2018/fresh/コーポレートサイト：http://www.sendenkaigi.com/採用に関するQ&A：https://www.sendenkaigi.com/recruit/2018/fresh/faq.htmlE-MAIL：hr-recruit@sendenkaigi.co.jp電話番号：03-3475-3034※新卒採用に関するお問い合わせはE-MAILで受け付けています。
"株式会社 産業経済新聞社",,,,203-3243-8553,31億7219万8500円,755億円（2017年3月期実績）,【東京本社】〒100-8077東京都千代田区大手町1-7-203-3243-8553（採用直通）【大阪本社】〒556-8660大阪府大阪市浪速区湊町2-1-5706-6633-1221（大代表）※採用に関する問い合わせは東京本社にご連絡ください。
"株式会社 和光","代表取締役社長 安達 辰彦",,jinji@wako.co.jp,,25億円,グループ連結売上高2967億円（2016年3月期）,"〒104-8105 東京都中央区銀座4丁目5-11採用担当　ＴＥＬ：（03）5250-3022（直通）　メールアドレス：jinji@wako.co.jp"
株式会社九州セイムス,代表取締役　佐々木　桂一代表取締役　増田　敦,,,,4500万円,3626億3200万円（グループ連結・2016年3月現在）,＜山口・福岡・大分地区＞〒870-0854　大分県大分市大字羽屋29-4　九州セイムス本部　採用担当宛＜鹿児島・熊本地区＞〒899-6404　鹿児島県霧島市溝辺町麓1421-1　九州セイムス鹿児島事務所　採用担当宛お問い合わせはE-mailで受け付けています。（s-waki@kyushuseims.ne.jp）
株式会社講談社,代表取締役社長　野間　省伸,,,03-5395-3416,3億円,1168億円（2014年12月～2015年11月）,講談社　人事部〒112-8001東京都文京区音羽2-12-21電話:03-5395-3416
株式会社アークス,"代表取締役会長　　三浦　紘一 代表取締役副会長 福原　朋治 代表取締役社長　　横山　 清",,arcs-saiyo@arcs-g.co.jp,011-530-1210,200億円,5019億円（2015年度）,"〒064-8610　札幌市中央区南13条西11丁目2-32 採用担当／人事企画グル－プ　広瀬・高木 mail：arcs-saiyo@arcs-g.co.jpTEL：011-530-1210(人事企画グル－プ直通)"
一般社団法人共同通信社,社長　福山　正喜,http://www.kyodonews.jp,kyodonews_jinji@kyodonews.jp,03-6252-8021,一般社団法人組織のためなし,,"〒105-7201　東京都港区東新橋　1-7-1　汐留メディアタワー　一般社団法人共同通信社　総務局人事グループ採用担当TEL　03-6252-8021(平日9:30～17:30)E-Mail kyodonews_jinji@kyodonews.jpホームページアドレス　http://www.kyodonews.jp/"
株式会社美容経済新聞社,"代表取締役　花上 哲太郎株式会社リクルート（情報通信事業部門）、人事コンサルタント会社会長秘書など経て1999年当社設立。",http://bhn.jp/,,03-5411-7508,1500万円,1億5千万円（平成27年度）,"株式会社美容経済新聞社〒106-0032東京都港区六本木6-8-10　STEP六本木ビル WEST採用担当TEL：03-5411-7508"
株式会社電通パブリックリレーションズ,畔柳一典,,,03-5565-2787,4000万円,110億4190万円（2015年1月～12月）,東京都中央区築地5-6-4　浜離宮三井ビルディング6F株式会社電通パブリックリレーションズ経営推進局　人事総務部　採用担当　高須電話番号：03-5565-2787Mai：jinji@dentsu-pr.co.jp
株式会社トライ・エー,近江康博,,,022-371-9806,7000万円,35億円（2015年12月実績）,"〒981-3117　宮城県仙台市泉区市名坂字楢町174-3　TEL：022-371-9806お問い合わせの受付は、株式会社ジャーマン・ファクトリー 総務部（メルセデス・ベンツ仙台東内）にて行っております。〒984-0002 宮城県仙台市若林区卸町東4-1-1 　TEL：022-288-0120"
株式会社NTTドコモ,代表取締役社長　吉澤　和弘,http://information.nttdocom,,,9496億7950万円（2015年3月31日現在）,4兆5270億8400万円（2016年3月期）,東京都千代田区永田町2-11-1　山王パークタワー　〒100-6150ＮＴＴドコモ　採用チームURL：http://information.nttdocomo-fresh.jp/※各種お問い合わせにつきましては、NTTドコモ採用HPのお問い合わせフォームよりお願いいたします。
株式会社アニメイト,"代表取締役社長　崎田 竜也",,,03-3972-0022,5000万円,600億円（2015年度実績）,〒173-0021東京都板橋区弥生町77-3アニメイトグループ　新卒採用担当TEL：03-3972-0022(※9:30-18:00　土日祝日を除く）
株式会社東急パワーサプライ,代表取締役社長　村井健二,,saiyou@tkk.tokyu.co.jp,03-3477-6134,18億円,非公開,"東京急行電鉄株式会社内〒150-8511 東京都渋谷区南平台町5-6 人材戦略室　人事開発部　採用センター TEL：03-3477-6134 E-mail：saiyou@tkk.tokyu.co.jp"
株式会社福原,代表取締役社長　福原　郁治,,,0155-37-3983,24億8183万円,437億円（2015年度）,株式会社　福原〒080-2498北海道帯広市西22条北1丁目13番地TEL：0155-37-3983担当：品田（しなだ）
株式会社道北アークス,代表取締役社長　六車　亮,,,0166-47-2818,7億8117万円,459億円（2015年度）,株式会社　道北アークス〒079-8585北海道旭川市流通団地一条一丁目33番地の1TEL：0166-47-2818（代表）FAX：0166-48-8987採用担当／人事部　秋山
株式会社タカラトミーマーケティング,"代表取締役社長　小越 良充",,,03-5650-3300,1億円,534億円　※2016年3月期,"株式会社タカラトミーマーケティンググループ新卒採用担当〒124-0062　東京都葛飾区青戸6-1-1　朝日生命葛飾ビル TEL：03-5650-3300（受付時間　平日9：00～12：00　13：00～17：30）"
株式会社トライ・ブイ,近江康博,,,022-776-0562,5000万円,24億6900万円（2015年12月期実績）,"〒981-3117　宮城県仙台市泉区市名坂字楢町140-1　TEL：022-776-0562お問い合わせの受付は、株式会社ジャーマン・ファクトリー 総務部（メルセデス・ベンツ仙台東内）にて行っております。〒984-0002 宮城県仙台市若林区卸町東4-1-1 　TEL：022-288-0120"
株式会社文芸社,,,,03-5369-1970,8000万円,,"株式会社文芸社　新卒採用チーム 〒160-0022　東京都新宿区新宿1-10-1 TEL：03-5369-1970採用HP：http://www.bungeisha.info/"
株式会社野川食肉食品センター,"代表取締役社長　野川 喜弘",,saiyo@ngw.co.jp,023-654-1245,3000万円,グループ合計　165億円2016年1月実績,"株式会社 野川食肉食品センター　　山形県天童市老野森三丁目2番6号　　TEL：023-654-1245　E-mail：saiyo@ngw.co.jp　　担当：管理部総務　渋谷裕之　　　　　　商品部販売企画　瓜生実夢"
田中貴金属ジュエリー株式会社,代表取締役社長執行役員　田中　和和,,,03-4578-5984,3億8000万円,8971百万円（2016年3月期）,"田中貴金属ジュエリー株式会社東京都中央区銀座1-7-7採用に関してはグループ会社のTANAKAホールディングス株式会社が行っております。〒100－6422東京都千代田区丸の内2-7-3東京ビルディング22Ｆ担当：人事総務部 人財開発セクションTEL：03-4578-5984"
イワタニ近畿株式会社,代表取締役社長　黒瀬豊樹,,,06-6350-8282,2億800万円,86億3093万円（2016年3月）,"大阪市淀川区西宮原2丁目1番3号 SORA新大阪21 7階電話番号：06-6350-8282採用担当：中嶋（ナカジマ）"
株式会社東北セイムス,代表取締役　室木　秀人,,,022-306-0315,1000万円,3626億3200万円（グループ連結）※2016年3月実績,"〒981-1105宮城県仙台市太白区西中田5-17-1TEL 022-306-0315FAX 022-306-0316"
