会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
徳洲会インフォメーションシステム株式会社,8000万円,21億円（平成28年3月実績）,"代表取締役社長　尾崎　勝彦 ",http://www.tokushukai-is.com,,"徳洲会インフォメーションシステム株式会社　〒530-0001大阪府大阪市北区梅田1-3-1-800大阪駅前第１ビル８階TEL：06-6346-2821（代表）HP：http://www.tokushukai-is.com/☆アクセス交通：JR東西線 「北新地駅」／地下鉄四つ橋線 「西梅田駅」 徒歩２分阪神 「梅田駅」 徒歩４分JR 「大阪駅」／地下鉄御堂筋線／地下鉄谷町線 「東梅田駅」 徒歩６分阪急 「梅田駅」 徒歩８分"
"パナソニック システムデザイン株式会社",2億円,56億円（2015年度実績）,代表取締役社長　林　仁,,psd-saiyou@ml.jp,"パナソニック システムデザイン株式会社e-mail：psd-saiyou@ml.jp.panasonic.com〒222-0033　横浜市港北区新横浜3-1-9　新横浜アリーナタワーTEL：045-471-9160採用担当"
ＴＩＳ西日本株式会社,6000万円,14億6500万円(2016年3月期),代表取締役社長　野中　浩司,http://www.tis-w.co.jp,info@tis-w.co.jp,"〒812-0013福岡県福岡市博多区博多駅東2-5-1 アーバンネット博多ビル３階採用担当／管理部TEL：092-452-8400E-mail：info@tis-w.co.jp≪URL≫　http://www.tis-w.co.jp/≪交通アクセス≫　福岡市営地下鉄「博多駅」筑紫口より徒歩5分"
株式会社トスコ,1億円,43.9億円（平成29年3月期）,"代表取締役社長　　 橋本　明三",http://www.tosco.co.jp,saiyo_ok@tosco.co.jp,"【本 社】／〒700-0953　　　　　岡山県岡山市南区西市116-13　　　　　担当／総務部 岡・今村・坂田　　　　　TEL／086-243-8868　　　　　E-mail／saiyo_ok@tosco.co.jp【東京支社】／〒105-0012 　東京都港区芝大門１丁目10-11 芝大門センタービル７階　　　 担当／総務部 小林・松田・菊地　　　　　 TEL／03-6367-0333　　　　　 E-mail／saiyo_tk@tosco.co.jp【名古屋事業所】／〒450-0002 　名古屋市中村区名駅5-30-1　いちご名駅ビル10階　　　 担当／総務部 後藤・岩田　　　　　 TEL／052-589-8828　　　　　 E-mail／saiyo_ny@tosco.co.jp　　　　　URL／http://www.tosco.co.jp/"
ウイングアーク１ｓｔ株式会社,2億円,120億円（2016年2月実績）,代表取締役社長　内野弘幸,http://www.wingarc.com,recruit@wingarc.com,"□■━━━━━━━━━━━━━━━━ウイングアーク１ｓｔ株式会社 人事部　採用担当 〒150-0031 東京都渋谷区桜丘町20-1 渋谷インフォスタワー4F TEL: 03-6416-5067（採用担当直通）FAX：03-5962-7311E-mail：recruit@wingarc.comWEB： http://www.wingarc.com/company/graduate/index.html━━━━━━━━━━━━━━━━━■□"
株式会社アイメック,1000万円,1億7400万円（2016年3月）,"代表取締役　辻 馨",,,"〒650-0033 兵庫県神戸市中央区江戸町98-1 東町・江戸町ビル4階TEL：078-332-0081／採用担当：管理部/豊田"
株式会社ＳＣＣ,2億6000万円,118億円(2015年度実績),代表取締役社長　松尾　泰,http://www.scc-kk.co.jp,saiyo@scc-kk.co.jp,"〒164-8505 東京都中野区中野5-62-1 eDCビル人事課　清水・下吉・田中・篠田TEL:03-3319-1940(採用担当直通) FAX:03-3319-6999E-Mail saiyo@scc-kk.co.jpURL http://www.scc-kk.co.jp交通:JR中央線・東京メトロ東西線中野駅北口徒歩1分"
PSP株式会社,3億7965万円,46億円※2016年6月実績,代表取締役社長　八木裕子,,pspsaiyo@access-t.co.jp,"ＰＳＰ株式会社〒106-0031　東京都港区西麻布4-16-13新卒採用チーム03-3479-0135E-MAIL pspsaiyo@access-t.co.jp"
シンポー情報システム株式会社,9000万円,41億900万円(2016年3月),代表取締役社長　中溝　正俊,,,■メールアドレス（共通）saiyo@shimpo.co.jp■フリーダイヤル（共通）0120-40-3140■採用担当（共通）青木■本社神奈川県横浜市神奈川区栄町7-1　神奈川トヨタmyXビル6階■中部支社愛知県名古屋市中区丸の内3-2-29　ヤガミビル8階■関西支店大阪府大阪市中央区平野町2-2-13　マルイト堺筋ビル5階
プレイス株式会社,1000万円,2億7000万円,代表取締役　坂元　利彰,http://www.plaice.co.jp/,,"プレイス株式会社　大阪本社住所：〒530-0004大阪市北区堂島浜2-2-8東洋紡ビルディング 4FTEL:06-6442-3872　FAX:06-6442-3882"
日本事務器株式会社,3億6000万円,287億円　2016年3月期,代表取締役社長田中　啓一,,saiyou-h@njc.co.jp,"〒151-0071　東京都渋谷区本町3-12-1 住友不動産西新宿ビル6号館TEL　0120-292-152(フリーダイヤル）E-mail　saiyou-h@njc.co.jp人事部：澤田、寺内"
株式会社ナノベース,1600万円（単体）,1億円（2015年9月期）5000万円（2014年9月期）,田中　康一,http://www.nanobase.co.jp,recruit@nanobase.co.jp,【所在地】〒550-0011　大阪市西区阿波座2-2-18　いちご西本町ビル11階【ＵＲＬ】http://www.nanobase.co.jp/【E-mail】recruit@nanobase.co.jp【TEL】06-6585-7612【採用担当】田中　有希
株式会社システムサポート,1億9555万円,58億9000円（2016年6月期）【単体】,代表取締役　小清水　良次,,tsaiyo@sts-inc.co.jp,ご希望の勤務地の新卒採用担当までご連絡ください。■東京地区（東京支社）〒163-0211　東京都新宿区西新宿2-6-1　新宿住友ビル11F電話番号：03-3342-9611E-mail：tsaiyo@sts-inc.co.jp■名古屋地区（名古屋支社）　〒450-0002　愛知県名古屋市中村区名駅3-13-26　交通ビル5F※2017年9月に【JPタワー名古屋】への移転が決定電話番号：052-571-3266E-mail：nsaiyo@sts-inc.co.jp■大阪地区（大阪支店）〒532-0003　大阪府大阪市淀川区宮原3-5-24　新大阪第一生命ビル2F電話番号：06-4807-7871E-mail：osaiyo@sts-inc.co.jp■金沢地区（北陸支社）〒920-0853　石川県金沢市本町1-5-2　リファーレ9F電話番号：076-265-5151又は0120-65-5158E-mail：hsaiyo@sts-inc.co.jp
株式会社アップロード,2000万円,5億2400万円（2016年度実績）,"代表取締役　折田 浩和",http://www.upload-gp.co.jp,yoshinori@upload-gp.co.jp,"採用担当／中川電話番号／06-6910-8480E-Mail／yoshinori@upload-gp.co.jpＨＰ／http://www.upload-gp.co.jp/住所／大阪：〒540-6321　大阪市中央区城見1-3-7　松下ＩＭＰビル21階※東京採用も大阪で管轄しておりますので、　 ご不明点等お気軽にお問い合わせくださいませ。"
アイサンテクノロジー株式会社,14億8145万2562円,27億9412万円(2016年3月期実績)28億2507万円(2015年3月期実績)22億2734万円(2014年3月期実績),"代表取締役社長　柳澤 哲二",http://www.aisantec.co.jp,at_recruit@at45.aisantec.jp,"名古屋市中区錦3-7-14　 ATビル採用担当／人事法務管理部　中越・安藤・山下■E-mail　at_recruit@at45.aisantec.jp■TEL　　　052-950-7500（代）【URL】http://www.aisantec.co.jp/"
株式会社アイエンター,3000万円,37億4000万円(2016年6月実績),"代表取締役　CEO　入江 恭広",,saiyou-group@i-enter.co.jp,株式会社アイエンター〒150-0002東京都渋谷区渋谷2-14-10　長沼ビル5F採用担当TEL：03-4405-5073E-mail：saiyou-group@i-enter.co.jp※土日祝日は休みとなります。休み明けのご連絡となりますので、ご理解のほどお願いいたします。
株式会社ニューウェイブ,1000万円,"11億6600万円（2016年 7月期）",代表取締役　日野美江子,http://www.newwave98.co.jp,,"〒792-0003愛媛県新居浜市新田町1-6-25採用担当：システム事業部 高橋準（たかはしじゅん）TEL：0897-35-2280http://www.newwave98.co.jprecruit@newwave98.co.jp"
株式会社ワイズマン,１億円,"８０億７４００万円（H２６年３月期連結）８４億２４００万円（H２７年６月期連結）８８億円　　　　 （H２８年６月期連結）",代表取締役社長　湯澤　一美,https://www.wiseman.co.jp,n-recruit@mx1.wiseman.co.jp,"〒020-0045岩手県盛岡市盛岡駅西通2丁目11番1号株式会社　ワイズマン 採用担当　古澤、山田、中嶋Tel : 019-604-0747 / Fax : 019-604-0770https://www.wiseman.co.jp/ e-mail　n-recruit@mx1.wiseman.co.jp"
株式会社ブレイン・ゲート,8000万円（グループ連結：10500万円）,,"代表取締役社長ＣＥＯ　佐野 泰紳",,,"〒450-0002名古屋市中村区名駅四丁目22-22　名駅ＫＭビル7Ｆtel :052-581-2911"
ロジザード株式会社,6626万1800円,"10億1003万円 (2016年6月期)　前期比18％成長（直近4期では連続して前期比18～24％の成長）","代表取締役社長 金澤 茂則",,,"ロジザード　株式会社管理部　人事チーム〒103-0013東京都中央区日本橋人形町3-3-6ユニゾ人形町ファーストビル4F 　TEL：03-5643-6228"
"パナソニック アドバンストテクノロジー株式会社",1億円（パナソニック株式会社全額出資）,106億5300万円(2017年3月実績),"代表取締役社長　東 幸哉",,,"エントリー・会社説明会・採用選考など採用に関するご質問は下記までメールいただくか、またはお近くの拠点の採用担当宛お電話にてお問い合わせ下さい。メールでのお問い合わせ先：recruit.pad@ml.jp.panasonic.com大阪拠点：　〒571-8501　大阪府門真市大字門真1006番地　 　　　　　　パナソニック(株)先端研究本部　西門真地区B棟2F　　　　　　担当/人事部 人事課　岩田・上村　　　　　　TEL:06-6900-9742　横浜拠点：　〒224-8539　神奈川県横浜市都筑区佐江戸町600番地　　　　　　　パナソニック(株)佐江戸南地区S6棟　　　　　　　担当/人事部　辻　　　　　　　TEL:045-938-1558名古屋拠点：〒456-0002　愛知県名古屋市熱田区金山町1-7-5　　　　　　　　電波学園金山第1ビル4F　　　　　　　　担当/人事部 人事課　湯本　　　　　　　　TEL:052-683-6364　広島拠点：　〒732-0814　広島県広島市南区段原南1-3-53　　　　　　　広島イーストビル3F　　　　　　　担当/人事部 採用・人材育成課　岩坪　　　　　　　TEL:082-568-7500　　"
Ｔ＆Ｄ情報システム株式会社,3億円,191億640万円（2016年3月期）,代表取締役社長　木野　康雄,http://www.td-system.co.jp,,"T&D情報システム株式会社ＵＲＬ：http://www.td-system.co.jp/ ■本店 〒330-0075 　埼玉県さいたま市浦和区針ヶ谷4-2-18　太陽生命浦和ビル TEL:0120-314-828　採用担当 交通JR京浜東北線「与野」駅西口より徒歩8分 ■大阪事業所〒550-0002大阪市西区江戸堀1-2-1　大同生命大阪本社ビル交通大阪市営四つ橋線「肥後橋」駅　1-A、1-B出口すぐ大阪市営御堂筋線「淀屋橋」駅　4番出口より徒歩5分JR「大阪」駅より徒歩13分"
ファルメディコ株式会社,5000万円,15億600万円（2016年3月期）,代表取締役社長　狹間研至代表取締役会長　狹間紀代,http://www.pharmedico.com,,=============================================〒530-0041大阪市北区天神橋1-9-5　山西屋・西孫ビル2・3FTEL：06-4801-9555saiyo@pharmedico.com総務部/採用担当◆ＵＲＬ◆http://www.pharmedico.com◆交通機関◆【本社】大阪市営地下鉄堺筋線　南森町駅　4-B出口大阪市営地下鉄谷町線　南森町駅　4-B出口JR東西線　大阪天満宮駅　3番出口　　　　　　　　　より徒歩約10分=============================================
株式会社建設システム,４０００万円,非公開,代表取締役　栗田富夫「当たり前のことが当たり前にできる人づくり」を、経営の根幹に据える建設システムの創業社長。人を見、人を大切にし、人を育て、人を幸せにする。常に社員と共にある、私たちの自慢の社長です。,https://www.kentem.jp,saiyou@kentem.co.jp,"〒417-0862静岡県富士市石坂312-1株式会社建設システム　採用担当　前島TEL 　0545-23-2610E-mail　saiyou@kentem.co.jp　URL　 　https://www.kentem.jp/"
株式会社　アミック,3400万円,16.3億円,代表取締役　田北暁,http://www.ammic.co.jp,,"株式会社アミック　採用担当 牧野 〒430-7720 静岡県浜松市中区板屋町111-2　TEL 053-450-7850　（受付 10時～17時、土・日・祝日除く）E-mail<recruit@ammic.co.jp>http://www.ammic.co.jp"
フォーサイトシステム株式会社,2億5千万円,88億7千万円(2017年1月期)81億6千万円(2016年1月期)80億1千万円(2015年1月期)77億6千万円(2014年1月期)62億9千万円(2013年1月期),"代表取締役社長／遠藤 史朗",http://www.foresight.co.jp,,"■九州地区福岡県福岡市中央区長浜1-4-6三岩九州総合ビル（〒810-0072）フリーダイヤル／0120-431-106担当／森山・松尾■東京地区東京都港区三田3-13-12　三田MTビル（〒108-0073）フリーダイヤル／0120-264-106担当／土屋■名古屋地区愛知県名古屋市中区栄4-16-8 栄メンバーズオフィスビル（〒460-0008）TEL／052-269-2123担当／福田・松尾■大阪地区大阪府大阪市北区豊崎3-19-3 ピアスタワー（〒531-0072）フリーダイヤル／0120-996-102担当／森山＜URL＞http://www.foresight.co.jp/＜E-mail＞jin@foresight.co.jp"
"株式会社 アイ・アイ・エム",3億9000万円,非公表,"代表取締役社長　関根 淳",,saiyo@iim.co.jp,"株式会社 アイ・アイ・エム採用担当：松村、矢部〒113-0033　東京都文京区本郷2丁目27番20号　本郷センタービル　E-Mail：saiyo@iim.co.jpTEL：03-5684-6771（代） FAX：03-5684-6845"
豊ハイテック株式会社,3800万円,29億7400万円(2014年3月実績)31億7970万円(2015年3月実績)35億円(2016年3月実績),"取締役社長：植竹 伸二",,saiyou18@yutaka-ht.co.jp,"＜採用(東京)＞ 〒111-0052東京都台東区柳橋1-11-11 浅草橋豊ハイテックビル【TEL】 03-5820-2951【FAX】 03-6386-8315【E-mail】 saiyou18@yutaka-ht.co.jp 採用担当／河村舞 ＜採用(愛知)＞ 〒472-0026　愛知県知立市上重原町腰前1-2 【TEL】 0566-81-8150【FAX】 0566-83-5543 【E-mail】 saiyou18@yutaka-ht.co.jp 採用担当／川上 真帆"
アイピーシステム株式会社,5000万円,"2016年6月期実績 798百万円2015年6月期実績 752百万円2014年6月期実績 775百万円2013年6月期実績 646百万円2012年6月期実績 591百万円",代表取締役　森　清治,,recruit@ipsys.co.jp,"＜岡山本社＞〒７００－０９６２ 岡山県岡山市北区北長瀬表町２－１６－２７ TEL：０８６－８０５－０６７８/ FAX：０８６－８０５－０６７９ MAIL:recruit@ipsys.co.jp採用担当：営業管理部　巻尾（まきお）"
株式会社テラスカイ,4億5682.7万円,"連結24億7972万円　単独24億 100万円（いずれも、2016年2月期実績）連結16億3969万円　単独16億 990万円（いずれも、2015年2月期実績）連結10億9942万円　単独10億9380万円（いずれも、2014年2月期実績）★9期連続　売上増！★",代表取締役社長　佐藤秀哉【経歴】1987年、新卒で日本アイ・ビー・エム株式会社入社。営業として勤務。13年間で、販売目標を外したのはわずか一度。2000年には、年間最優秀営業部員に送られる「セールス・オフィサー賞」を受賞。2001年3月セールスフォース・ドットコム日本法人の立ち上げに際し、執行役員営業統括本部長として参画。2006年3月テラスカイ設立。現在では、クラウド分野の第一人者として、多くのメディアにも取り上げられている。,http://www.terrasky.co.jp,,"株式会社テラスカイ東京都中央区日本橋一丁目3番13号　東京建物日本橋ビル 7階　03-5255-3421／新卒採用担当（recruit@terrasky.co.jp）http://www.terrasky.co.jp/recruit/"
株式会社大阪エヌデーエス,3000万円,9億1400万円（2016年3月期実績）8億2800万円（2015年3月期実績）7億9600万円（2014年3月期実績）,"代表取締役社長 平山 武司",http://www.nds-osk.co.jp,recruit@nds-osk.co.jp,"■株式会社大阪エヌデーエス 　〒540-0001 大阪府大阪市中央区城見1丁目4番70号　住友生命OBPプラザビル8F 　採用担当/中原・昆　TEL:06-6945-6800 E-mail:recruit@nds-osk.co.jp 　URL:http://www.nds-osk.co.jp/"
ソフトキューブ株式会社,1500万円,"3億5600万円 (西暦2016年3月）","代表取締役 北村 雄吾",http://www.softcube.co.jp,,"■ソフトキューブ株式会社　本社■〒570-0083大阪府守口市京阪本通2丁目3-5 リバティービル守口TEL：06-6991-6881　　管理部 採用担当　交通機関：　　　地下鉄谷町線「守口」駅3番出口より徒歩1分　　　京阪電車「守口市」駅東出口より徒歩5分URL　http://www.softcube.co.jp/"
株式会社コムニック,1億円,30億2800万円(2015年4月期),代表取締役社長　松岡稔,,,"〒103-0011東京都中央区日本橋大伝馬町6-9TEL. 03-5645-3111採用担当総務人事部　吉満勇一"
株式会社クレオ,31億4965万円,103億500万円（2016年3月期実績）,"代表取締役社長　柿崎 淳一",http://www.creo.co.jp,c-saiyou2018-ml@creo.co.jp,"■■■…………………………………………………………　株式会社クレオ　新卒採用担当　〒140-0002　東京都品川区東品川4-10-27 　住友不動産品川ビル 受付12階　TEL：0120-154-900　E-mail：c-saiyou2018-ml@creo.co.jp　URL：http://www.creo.co.jp/…………………………………………………………■■■"
エムオーテックス株式会社,2000万円,47億3100万（2016年3月期実績）,"代表取締役社長　河之口 達也",,saiyo@motex.co.jp,"■大阪本社（人事総務課：月田）〒532-0011大阪府大阪市淀川区西中島5-12-12　エムオーテックス新大阪ビルTEL:06-6308-8985E-mail saiyo@motex.co.jp■東京本部（人事総務課：奥澤） 〒108-0075東京都港区港南1丁目2番70号 品川シーズンテラス5階TEL：03-5460-1374E-mail　saiyo@motex.co.jp"
株式会社アイ・エス・ディ,3000万円,4億8000万円（2016年3月期）,社長　谷村和平,,info@isd-net.co.jp,株式会社アイ・エス・ディ〒550-0005　大阪市西区西本町1丁目13番地38号西本町新興産ビル採用担当TEL：06-6110-7800E-mail：info@isd-net.co.jp
株式会社脇電業商会,1000万円,非公開,"代表取締役　脇 隆俊",http://www.mtpnet.co.jp/index.html,m-saiyo@mtpnet.co.jp,"株式会社脇電業商会〒553-0006大阪市福島区吉野5丁目13番8号 脇電業本社ビル総務部　人事課　採用担当電話：06-6462-8000E-mail ： m-saiyo@mtpnet.co.jp"
株式会社内田洋行ＩＴソリューションズ,4億6000万円,96億7690万円（2016年7月期）,"代表取締役 社長執行役員　新家　俊英",http://www.uchida-it.co.jp,,株式会社内田洋行ＩＴソリューションズ採用ホームページ：http://www.uchida-it.co.jp/contents.php?id=8◆東日本地域の方は〒105-0004東京都港区新橋6-1-11　Daiwa御成門ビル管理本部　東日本採用チームTEL：03-5777-6622FAX：03-5777-6620◆西日本地域の方は〒600-8102京都市下京区五条通河原町西入　京都エクセルヒューマンビル管理本部　西日本採用チームTEL：075-341-4141FAX：075-341-8714
株式会社ＮＴＴデータＳＢＣ,1億円,101億円(2016年3月期実績),"代表取締役社長　西島 昭佳",,recruit@nttdata-sbc.co.jp,ご質問等がございましたら、お気軽に下記までお問い合わせください。株式会社ＮＴＴデータＳＢＣ総務部　採用担当大阪市中央区備後町二丁目1番1号　第2野村ビル6ＦTEL:06-6221-2026　（内線）6101E-mail：　recruit@nttdata-sbc.co.jpURL：　www.nttdata-sbc.co.jp
株式会社ソリッドアーツ,3500万円,3億9300万円（2017年2月期実績）,"代表取締役　守谷 晃一（もりや こういち）",http://www.solidarts.co.jp,,"〒563-0024 大阪府池田市鉢塚3-15-10TEL：072-762-2607新卒採用サイトURL　http://www.solidarts.co.jp/fresh/"
株式会社ISIDアドバンストアウトソーシング,3億円,非公開,"代表取締役社長　市川 建志",http://www.isid-ao.co.jp/,recruit-career@group.isid-ao.co.jp,"株式会社ISIDアドバンストアウトソーシング〒108-0075 　東京都港区港南二丁目17番1号 【TEL】03-6713-5925　採用担当【E-mail】recruit-career@group.isid-ao.co.jp■ISID－AOホームページ http://www.isid-ao.co.jp/■ISID－AO RECRUIT 2018http://www.isid-ao.co.jp/graduates.html"
日本インフォメーション株式会社,4億1020万円,"27億円 （平成28年3月実績）",代表取締役社長　　加藤　高章,,,＜本社＞・＜管理本部＞〒464-0850　名古屋市千種区今池1-8-8　今池ガスビル６F　　　　　　　　　TEL：052-741-7566　FAX：052-741-7331<東京本部>〒104-0031　東京都中央区京橋2-4-12　京橋第一生命ビル２F　　　　　　　　　TEL:03-5255-6441　FAX:03-5255-6442<名古屋本部>〒464-0850　名古屋市千種区今池1-8-8　今池ガスビル６F　　　　　　　　　TEL:052-741-8753　FAX:052-741-8751<大阪本部>〒541-0052　大阪市中央区安土町二丁目3番13号　大阪国際ビルディング２６Ｆ　　　　　　　　　TEL:06-6265-8045　FAX:06-6263-8544<盛岡オフィス>〒020-0045　岩手県盛岡市盛岡駅西通2丁目9番1号　マリオス９Ｆ　　　　　　　　　TEL:019-656-1120　FAX:019-656-1121
株式会社システム・サイエンス,9500万円,25億2000万円（2016年9月）,代表取締役　牧野武志,http://www.s-science.co.jp,,株式会社システム・サイエンス〒160-0022　東京都新宿区新宿2-19-1　ビッグス新宿ビル6階TEL：03-3341-5544（代表）FAX：03-3352-6998＜当社ＨＰ＞http://www.s-science.co.jp＜当社Facebook＞http://www.facebook.com/SystemScience
株式会社NTTデータエンジニアリングシステムズ,1億円（株式会社NTTデータ100%出資）,平成27年度実績（9946百万円）,代表取締役社長　木下　篤,http://www.nttd-es.co.jp,jinji@nttd-es.co.jp,〒144-8601東京都大田区西蒲田7-37-10担当：今井、上谷TEL　03-5711-5312FAX　03-5711-5370URL：http://www.nttd-es.co.jp/Mail：jinji@nttd-es.co.jp
株式会社ソフテム,5000万円,9億5000万円（2016年8月実績）,代表取締役社長　勝山研人,http://softem-net.co.jp,,"●本社（横浜）　〒231-0015　神奈川県横浜市中区尾上町1-4 関内STビル5F　採用担当（本社）：佐藤・久野　TEL:045-661-0206　FAX:045-661-0207●関西　〒532-0011　大阪市淀川区西中島5-6-16新大阪大日ビル6F　採用担当（関西）：楠瀬・西川　TEL:06-6300-5710　FAX:06-6300-3017＜Ｍａｉｌ＞　saiyo2018@softem-net.co.jp＜Ｈ　Ｐ＞　http://softem-net.co.jp/"
株式会社ジェリコネットワーク,１０００万円,３億３５３０万円（H２８年９月実績）,安田　洋,,jinji@jericho.co.jp,"〒532-0003大阪市淀川区宮原４丁目１番６号（アクロス新大阪１２階）人事担当： 新田、浮野、中矢TEL:06-6151-2663E-mail:jinji@jericho.co.jp★お聞きになりたいことがあれば、お気軽にお問い合わせください★"
株式会社ピイアイシイ,3000万円,2憶3千万円,我部　眞樹,https://www.pic-osk.co.jp/,,株式会社ピイアイシイ〒541-0053大阪市中央区本町3-5-2辰野本町ビル7F採用担当TEL：06-6266-0766
株式会社ベリサーブ,7億9200万円（2016年3月31日現在）,89億1100万円（2016年3月期）,"代表取締役社長　新堀 義之",http://www.veriserve.co.jp,veriserve_saiyou@veriserve.co.jp,"〒160-0023東京都新宿区西新宿6-24-1　西新宿三井ビル14F問合せEメール　 veriserve_saiyou@veriserve.co.jp問合せ電話番号　03-6302-0706　人事部 新卒採用担当・HP http://www.veriserve.co.jp/"
日本コントロールシステム株式会社,5935万円,（15年12月期）21億700万円　海外売上比率31%　自社プロダクトおよびライセンス：69%　　受託ソフトハード：31%、,代表取締役社長　　堀内伸泰代表取締役副社長　竹内清一郎,http://www.nippon-control-system.co.jp,saiyo@nippon-control-system.co.jp,日本コントロールシステム株式会社採用担当〒150-0013東京都渋谷区恵比寿1-20-18　三富ビル新館5階TEL　:03-3443-5081E-mail　:saiyo@nippon-control-system.co.jp【企業HP】http://www.nippon-control-system.co.jp/【採用HP】http://www.nippon-control-system.co.jp/saiyo/
アイビーシー株式会社,40453万円（2016年9月30日現在）,1141百万（2016年9月期）※営業利益率25.6％（2016年9月期）,"代表取締役社長　加藤 裕之",,,"■所在地東京都中央区新川1-8-8 アクロス新川ビル8F■電話番号03-5117-2780(代表)お問い合わせの際は「アイビーシー」新卒採用宛に 下記メールアドレスにご連絡ください。 recruit@ml.ibc21.co.jp"
三菱総研DCS株式会社,60億5935万円,連結：555億円　単体：467億円（2016年9月期）,代表取締役社長　円実稔,http://www.dcs.co.jp,saiyo@in.dcs.co.jp,"三菱総研ＤＣＳ株式会社人事部 新卒採用担当電話: :03-3458-9880（直通）Mail: saiyo@in.dcs.co.jp住所: 〒140-8506　東京都品川区東品川四丁目12番2号　品川シーサイドウエストタワーHP: http://www.dcs.co.jp/saiyo/shinsotsu/"
日本情報クリエイト株式会社,4500万円,15億5300万(2015年6月),代表取締役社長　　米津　健一,http://www.n-create.co.jp,jinji@n-create.co.jp,"〒885－0072　宮崎県都城市上町13街区18号 TEL：0986－25－2212 人事課/前田　ＵＲＬ　http://www.n-create.co.jp/E-mail　jinji@n-create.co.jp "
株式会社栗菱コンピューターズ,8000万円,44億900万円,"代表取締役社長久保 日出男",http://www.ritsuryo.co.jp/company/outline.html,,"株式会社栗菱コンピユーターズ〒541-0056　大阪市中央区久太郎町2丁目5番28号（久太郎町恒和ビル11F）採用担当：本社管理部　太田 TEL：06-6253-6450"
株式会社エイビス,"２、０００万円 （２０１７年 １月現在）",７．６億円（２０１６年８月実績）,"代表取締役社長　吉武 俊一",http://www.aivs.co.jp,,"株式会社エイビス〒870-0026大分県大分市金池町3-3-11 金池ＭＧビル 097-536-0999　担当／井上ホームページ http://www.aivs.co.jp"
株式会社日本ピュアシステム,2000万円,8億3000万円（2015年3月期）,代表取締役　奥出　邦且,,yuge@pure-system.com,"株式会社日本ピュアシステム大阪市中央区北久宝寺町3-5-12 御堂筋本町アーバンビル人事部　採用担当TEL　06-6210-2220E-mail　yuge@pure-system.com"
株式会社アルゴグラフィックス,"18 億7300万円（2017年3月31日現在）","268億7500万円 （2017年3月期）（連結売上高：348億4700万円）","代表取締役会長 兼CEO　藤澤 義麿（ふじさわ よしまろ）代表取締役社長 兼COO　尾崎 宗視 （おざき　むねし）",http://www.argo-graph.co.jp,jinji@argo-graph.co.jp,"株式会社アルゴグラフィックス〒103-0015東京都中央区日本橋箱崎町5-14 アルゴ日本橋ビル人事部　採用担当TEL:03-5641-2037mail:jinji@argo-graph.co.jp【ホームページ】＜会社＞http://www.argo-graph.co.jp＜採用＞http://www.argo-graph.co.jp/recruit/special/top.html【本社アクセス】東京メトロ東西線および日比谷線「茅場町駅」下車（4b出口）より徒歩5分東京メトロ半蔵門線「水天宮前駅」下車（2番出口）より徒歩4分"
株式会社エスエフシー新潟,8000万円,5億9496万円(2016年8月実績),代表取締役　苅部　宣輔,http://www.sfc-niigata.co.jp,k_harada@sfc-niigata.co.jp,〒950-0963新潟県新潟市中央区南出来島1-10-21TEL:025-282-2233総務部　原田E-mail:k_harada@sfc-niigata.co.jpURL:http://www.sfc-niigata.co.jp/
日本アドバンス・テクノロジー株式会社,5000万円,"22億2000万円　（ 2017年3月期 ）","取締役社長　渡邉 克昭",http://www.nat.co.jp,saiyo@nat.co.jp,"〒247-0072神奈川県鎌倉市岡本2-5-11 第二大観ビル2階業務部 採用担当電　話　： 0120-43-6663、　0467-47-1237メール　： saiyo@nat.co.jpホームページ　：　http://www.nat.co.jp/"
株式会社ＳＲＩシステムズ,1億円,45億円（2016年12月期実績）,代表取締役社長　田中　久己,http://www.srisys.co.jp,srs.saiyo@srigroup.co.jp,"総務部　採用担当　原田（はらだ）　　〒651-0072　　　神戸市中央区脇浜町2-11-14　　　神戸脇浜ビル5階 　　　TEL:078-265-3063 　　　E-mail srs.saiyo@srigroup.co.jp■□■□■□■□■□■□■□■□■　★当社ホームページもご覧下さい　　http://www.srisys.co.jp■□■□■□■□■□■□■□■□■"
株式会社シーエスアイ,1億円株式会社ＣＥホールディングス100％出資,76億1262円(2016年9月)（連結）,代表取締役社長　赤塚　彰,,,"〒003-0029 札幌市白石区平和通15丁目北1番21号 TEL:011-861-1513 管理本部 総務人事グループ採用担当　木村・横川jinji@csiinc.co.jp◆交通機関地下鉄東西線「南郷13丁目」駅3番出口より徒歩15分 JR平和駅から徒歩12分"
応研株式会社,4億9000万円,35億2400万円（2016年12月実績）,代表取締役　原田明治,http://www.ohken.co.jp,saiyou@ohken.co.jp,●福岡本社〒810-0001　福岡市中央区天神4-2-34応研ビルTEL　092-715-2789（代）TEL　050-3803-5180（採用直通）採用担当/野村（ノムラ）E-mail　saiyou@ohken.co.jpURL　http://www.ohken.co.jp
株式会社アスコット,5000万円,14億(平成28年12月期),代表取締役会長　森井　義雄代表取締役社長　林　政男,http://www.ascot.co.jp,,"大阪市中央区大手通1-4-10　大手前フタバビル6F〒540-0021管理部　採用担当 　TEL:06-6944-9211http://www.ascot.co.jp"
